elapsed,favero_power_fmed,stages_power_fmed
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,90,127
30,94,127
31,96,126
32,100,124
33,107,124
34,113,124
35,115,124
36,115,124
37,116,124
38,117,124
39,118,126
40,119,128
41,119,130
42,119,132
43,119,132
44,119,132
45,119,132
46,119,132
47,119,132
48,120,134
49,122,136
50,127,142
51,127,148
52,122,148
53,119,142
54,118,136
55,117,134
56,117,128
57,113,128
58,119,128
59,119,128
60,125,139
61,131,151
62,131,156
63,131,158
64,131,158
65,131,158
66,139,162
67,142,164
68,142,166
69,142,166
70,142,166
71,153,166
72,153,166
73,154,168
74,201,184
75,263,234
76,278,275
77,282,295
78,289,309
79,292,310
80,292,310
81,292,310
82,292,310
83,292,310
84,292,310
85,292,310
86,292,310
87,295,310
88,295,316
89,295,319
90,292,319
91,290,314
92,287,310
93,284,309
94,282,304
95,282,298
96,282,298
97,282,302
98,279,298
99,279,297
100,278,297
101,278,297
102,278,297
103,278,297
104,278,297
105,278,297
106,277,297
107,277,296
108,275,296
109,273,292
110,275,294
111,275,294
112,275,294
113,275,294
114,275,294
115,275,294
116,273,294
117,272,294
118,271,292
119,267,290
120,265,288
121,264,287
122,263,284
123,261,282
124,249,280
125,237,276
126,234,258
127,225,242
128,217,236
129,212,228
130,207,225
131,204,221
132,201,218
133,198,215
134,195,212
135,191,210
136,189,208
137,189,206
138,189,206
139,189,206
140,189,206
141,189,206
142,189,206
143,189,206
144,189,206
145,189,206
146,191,206
147,195,208
148,199,210
149,200,212
150,206,215
151,211,218
152,215,221
153,215,226
154,226,234
155,242,243
156,256,264
157,271,282
158,282,288
159,284,292
160,286,292
161,286,304
162,286,308
163,286,308
164,286,308
165,286,308
166,286,308
167,286,308
168,286,308
169,286,308
170,286,308
171,286,308
172,284,308
173,282,296
174,272,292
175,263,288
176,241,282
177,206,262
178,203,224
179,203,210
180,203,210
181,203,210
182,203,210
183,203,210
184,203,210
185,203,210
186,203,210
187,203,210
188,203,210
189,195,210
190,189,205
191,185,204
192,183,202
193,183,194
194,183,194
195,183,202
196,185,204
197,189,205
198,195,210
199,207,224
200,215,236
201,221,241
202,231,244
203,236,248
204,237,250
205,239,252
206,241,255
207,243,256
208,246,257
209,250,263
210,267,298
211,297,332
212,314,338
213,318,338
214,319,340
215,319,341
216,320,342
217,321,344
218,322,344
219,327,345
220,332,348
221,332,350
222,332,350
223,332,350
224,332,350
225,332,350
226,332,350
227,329,348
228,329,345
229,329,345
230,329,345
231,326,345
232,326,345
233,324,344
234,322,344
235,320,344
236,319,342
237,318,341
238,311,339
239,306,337
240,297,332
241,256,318
242,182,282
243,140,226
244,134,166
288,125,132
289,118,126
290,109,122
291,98,122
292,98,122
293,98,122
294,98,122
295,98,122
296,98,122
297,98,122
298,98,122
299,98,122
300,98,122
301,98,122
302,98,122
303,109,122
304,118,126
305,118,150
306,142,176
307,173,178
308,198,188
309,231,210
310,248,237
311,250,253
312,253,258
313,255,260
314,259,263
315,261,266
316,264,267
317,267,268
318,267,268
319,267,270
320,267,270
321,267,270
322,267,270
323,267,270
324,267,270
325,267,270
326,267,270
327,267,270
328,267,270
329,267,270
330,267,270
331,260,270
332,260,270
333,190,268
334,114,200
335,108,120
336,102,104
337,102,102
338,102,102
339,102,102
340,102,102
341,102,102
342,102,102
343,102,102
344,102,102
345,102,102
346,102,102
347,102,102
348,101,102
349,101,96
350,101,96
351,101,96
352,101,96
353,101,96
354,98,96
355,95,96
356,92,84
357,57,76
358,13,65
359,0,56
360,0,54
361,0,42
362,13,42
363,60,54
364,95,64
365,105,76
366,116,96
367,116,118
368,116,118
369,116,118
370,116,118
371,116,118
372,104,110
373,47,104
374,0,104
375,0,100
376,0,87
377,0,70
378,0,58
379,0,41
380,0,30
381,0,18
382,0,14
383,0,14
384,0,14
385,0,14
386,0,14
387,0,14
388,0,14
389,0,14
390,0,14
391,0,14
392,0,14
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
